Pin.Num,Land.Value,Bldg.Value,Misc.Imprv.Value,Deferred...Exempt.Value,Total.Taxable.Value
7647292467,12675,768,0,0,13443
7654443875,14000,0,0,0,14000
7654502258,14750,126652,9673,0,151075
7656063173,14000,247406,22000,0,283406
7657036854,24676,0,0,0,24676
7692304909,16000,24566,13892,0,54458
7693587679,12500,3635,0,0,16135
7701195897,2570,0,0,0,2570
8601072725,261969,0,0,171245,90724
8601091174,10075,0,0,0,10075
8611650165,17075,0,0,0,17075
8612994596,76960,0,0,56477,20483
8621528499,17000,0,0,0,17000
8626482286,9000,0,0,0,9000
8632766687,11225,0,1300,0,12525
8673692474,27125,0,0,7169,19956
8676068450,38000,0,0,23925,14075
8676802008,7215,0,0,0,7215
8677006336,71760,529568,266704,0,868032
8685847220,40910,182742,7,0,223659
8695334274,41765,0,0,0,41765
9500087806,275000,156020,12900,0,443920
9500671617,186000,0,0,0,186000
9501208062,95000,226016,14990,0,336006
